discount_id,discount_code,discount_type,discount_amount,valid_until
DISC001,SAVE10,percentage,25,2025-08-31 19:50:35
DISC002,WELCOME20,fixed_amount,48.07,2025-07-25 19:50:35
DISC003,SUMMER25,percentage,40,2026-04-05 19:50:35
DISC004,FALL15,percentage,40,2026-01-25 19:50:35
DISC005,WINTER30,fixed_amount,46.18,2026-02-14 19:50:35
DISC006,SPRING20,fixed_amount,25.98,2026-02-20 19:50:35
DISC007,NEWUSER,fixed_amount,21.18,2026-04-02 19:50:35
DISC008,LOYALTY15,percentage,50,2026-04-03 19:50:35
DISC009,FLASH50,fixed_amount,46.14,2026-03-19 19:50:35
DISC010,CLEARANCE40,percentage,30,2026-01-10 19:50:35
DISC011,BIRTHDAY10,percentage,20,2026-05-02 19:50:35
DISC012,VIP25,fixed_amount,18.28,2025-08-04 19:50:35
DISC013,EARLYBIRD,fixed_amount,30.64,2025-10-25 19:50:35
DISC014,BLACKFRIDAY,fixed_amount,16.58,2026-05-17 19:50:35
DISC015,CYBERMONDAY,fixed_amount,25.74,2026-03-04 19:50:35
DISC016,STUDENT15,percentage,15,2026-04-08 19:50:35
DISC017,MILITARY20,percentage,30,2025-12-19 19:50:35
DISC018,FIRSTORDER,percentage,50,2026-05-24 19:50:35
DISC019,BULK25,percentage,50,2025-07-12 19:50:35
DISC020,REFERRAL30,percentage,10,2025-12-06 19:50:35
DISC021,HOLIDAY20,percentage,30,2025-12-19 19:50:35
DISC022,ENDSEASON,fixed_amount,34.67,2025-10-21 19:50:35
DISC023,NEWYEAR,fixed_amount,5.53,2026-02-12 19:50:35
DISC024,VALENTINE,fixed_amount,5.77,2026-05-25 19:50:35
DISC025,EASTER15,fixed_amount,41.28,2025-12-31 19:50:35
